pincode,city,district,state
560079,Bangalore North,Bangalore,KARNATAKA
560080,Bangalore North,Bangalore,KARNATAKA
560082,Bangalore South,Bangalore,KARNATAKA
560083,Bangalore South,Bangalore,KARNATAKA
560084,Bangalore North,Bangalore,KARNATAKA
560085,Bangalore South,Bangalore,KARNATAKA
560086,Bangalore North,Bangalore,KARNATAKA
560087,Bangalore North,Bangalore,KARNATAKA
560088,Bangalore North,Bangalore Rural,KARNATAKA
560089,Bangalore North,Bangalore Rural,KARNATAKA
560090,Bangalore North,Bangalore Rural,KARNATAKA
560091,Bangalore North,Bangalore,KARNATAKA
560092,Bangalore North,Bangalore,KARNATAKA
560093,Bangalore North,Bangalore,KARNATAKA
560094,Bangalore North,Bangalore,KARNATAKA
560095,Bangalore South,Bangalore,KARNATAKA
560096,Bangalore North,Bangalore,KARNATAKA
560097,Bangalore North,Bangalore,KARNATAKA
560098,Bangalore South,Bangalore,KARNATAKA
560099,Bangalore South,Bangalore,KARNATAKA
560100,Bangalore South,Bangalore,KARNATAKA
560102,Bangalore South,Bangalore,KARNATAKA
560103,Bangalore South,Bangalore,KARNATAKA
560104,Bangalore North,Bangalore,KARNATAKA
560105,Anekal,Bangalore,KARNATAKA
560107,Bangalore North,Bangalore Rural,KARNATAKA
560300,Bangalore,Bangalore,KARNATAKA
561101,Magadi,Bangalore Rural,KARNATAKA
561201,Magadi,Bangalore Rural,KARNATAKA
561202,Pavagada,Tumkur,KARNATAKA
561203,Doddaballapura,Bangalore Rural,KARNATAKA
561204,Dodballapura,Bangalore Rural,KARNATAKA
561205,Dodballapura,Bangalore Rural,KARNATAKA
561206,Gauribidanur,Chikkaballapur,KARNATAKA
561207,Bagepalli,Kolar,KARNATAKA
561208,Gauribidanur,Kolar,KARNATAKA
561209,Gudibanda,Chikkaballapur,KARNATAKA
561210,Gauribidanur,Chikkaballapur,KARNATAKA
561211,Gauribidanur,Kolar,KARNATAKA
561212,Bagepalli,Chikkaballapur,KARNATAKA
561213,Gauribidanure,Chikkaballapur,KARNATAKA
561228,Gauribidanur,Kolar,KARNATAKA
562101,Chickballapur,Chikkaballapur,KARNATAKA
562102,Sidlaghatta,Kolar,KARNATAKA
562103,Chik Ballapur,Chikkaballapur,KARNATAKA
562104,Chickballapur,Kolar,KARNATAKA
562105,Sidlghatta,Chikkaballapur,KARNATAKA
562106,Anekal,Bangalore,KARNATAKA
562107,Anekal,Bangalore,KARNATAKA
562108,Channapatna,Ramanagar,KARNATAKA
562109,Ramanagara,Ramanagar,KARNATAKA
562110,Devanahalli,Bangalore Rural,KARNATAKA
562111,Nelamangala,Bangalore Rural,KARNATAKA
562112,Kanakapura,Ramanagar,KARNATAKA
562114,Hoskote,Bangalore Rural,KARNATAKA
562117,Kanakapura,Ramanagar,KARNATAKA
562119,Kanakapura,Ramanagar,KARNATAKA
562120,Magadi,Ramanagar,KARNATAKA
562121,Kanakapura,Ramanagar,KARNATAKA
562122,Hoskote,Bangalore Rural,KARNATAKA
562123,Nelamangala,Bangalore Rural,KARNATAKA
562125,Anekal,Bangalore,KARNATAKA
562126,Kanakapura,Ramanagar,KARNATAKA
562127,Magadi,Bangalore Rural,KARNATAKA
562128,Ramanagara,Ramanagar,KARNATAKA
562129,Hoskote,Bangalore Rural,KARNATAKA
562130,Bgsouth,Bangalore,KARNATAKA
562131,Magadi,Bangalore Rural,KARNATAKA
562132,Nelamangala,Bangalore Rural,KARNATAKA
562135,Devanahalli,Bangalore Rural,KARNATAKA
562138,Channapatna,Ramanagar,KARNATAKA
562149,Banglorenorth,Bangalore,KARNATAKA
562157,Bangalore North,Bangalore,KARNATAKA
562159,Ramanagara,Ramanagar,KARNATAKA
562160,Channapatna,Ramanagar,KARNATAKA
562161,Channapatna,Ramanagar,KARNATAKA
563101,Kolar,Kolar,KARNATAKA
563102,Kolar,Kolar,KARNATAKA
563103,Kolar,Kolar,KARNATAKA
563113,Bangarpet,Kolar,KARNATAKA
563114,Bangarapet,Kolar,KARNATAKA
563115,Bangarapet,Kolar,KARNATAKA
563116,Bangarpet,Kolar,KARNATAKA
563117,Bangarapet,Kolar,KARNATAKA
563118,Bangarapet,Kolar,KARNATAKA
563119,Bangarapet,Kolar,KARNATAKA
563120,Bangarpet,Kolar,KARNATAKA
563121,Bangarapet,Kolar,KARNATAKA
563122,Bangarapet,Kolar,KARNATAKA
563123,Chintamani,Kolar,KARNATAKA
563124,Bagepalli,Kolar,KARNATAKA
563125,Chintamani,Kolar,KARNATAKA
563126,Srinivasapura,Kolar,KARNATAKA
563127,Mulbagal,Kolar,KARNATAKA
563128,Chintamani,Kolar,KARNATAKA
563129,Bangarpet,Kolar,KARNATAKA
563130,Malur,Kolar,KARNATAKA
563131,Mulbagal,Kolar,KARNATAKA
563132,Mulbagal,Kolar,KARNATAKA
563133,Kolar,Kolar,KARNATAKA
563134,Srinivaspur,Kolar,KARNATAKA
563135,Srinivasapura,Kolar,KARNATAKA
563136,Mulbagal,Kolar,KARNATAKA
563137,Malur,Kolar,KARNATAKA
563138,Srinivaspur,Kolar,KARNATAKA
563139,Malur,Kolar,KARNATAKA
563146,Chintamani,Kolar,KARNATAKA
563159,Chintamani,Kolar,KARNATAKA
563160,Malur,Kolar,KARNATAKA
563161,Srinivaspur,Kolar,KARNATAKA
563162,Bangarpet,Kolar,KARNATAKA
570001,Mysore,Mysore,KARNATAKA
570002,Mysore,Mysore,KARNATAKA
570003,Mysore,Mysore,KARNATAKA
570004,Mysore,Mysore,KARNATAKA
570005,Mysore,Mysore,KARNATAKA
570006,Mysore,Mysore,KARNATAKA
570007,Mysore,Mysore,KARNATAKA
570008,Mysore,Mysore,KARNATAKA
570009,Mysore,Mysore,KARNATAKA
570010,Mysore,Mysore,KARNATAKA
570011,Mysore,Mysore,KARNATAKA
570012,Mysore,Mysore,KARNATAKA
570014,Mysore,Mysore,KARNATAKA
570015,Mysore,Mysore,KARNATAKA
570016,Mysore,Mysore,KARNATAKA
570017,Mysore,Mysore,KARNATAKA
570018,Mysore,Mysore,KARNATAKA
570019,Mysore,Mysore,KARNATAKA
570020,Mysore,Mysore,KARNATAKA
570022,Mysore,Mysore,KARNATAKA
570023,Mysore,Mysore,KARNATAKA
570025,Mysore,Mysore,KARNATAKA
570026,H D Kote,Mysore,KARNATAKA
570027,Mysore,Mysore,KARNATAKA
570028,Mysore,Mysore,KARNATAKA
570029,Mysore,Mysore,KARNATAKA
571101,T Narasipura,Mysore,KARNATAKA
571102,Periyapatna,Mysore,KARNATAKA
571103,Hunsur,Mysore,KARNATAKA
571104,Periyapatna,Mysore,KARNATAKA
571105,Hunsur,Mysore,KARNATAKA
571107,Periyapatna,Mysore,KARNATAKA
571108,Periyapatna,Mysore,KARNATAKA
571109,Gundlupet,Chamrajnagar,KARNATAKA
571110,T Narasipura,Mysore,KARNATAKA
571111,Gundlupet,Chamrajnagar,KARNATAKA
571114,H D Kote,Mysore,KARNATAKA
571115,Chamarajanagara,Chamrajnagar,KARNATAKA
571116,H D Kote,Mysore,KARNATAKA
571117,Chamarajanagara,Chamrajnagar,KARNATAKA
571118,Nanjangud,Mysore,KARNATAKA
571119,Nanjangud,Mysore,KARNATAKA
571120,T Narasipura,Mysore,KARNATAKA
571121,H D Kote,Mysore,KARNATAKA
571122,T Narasipura,Mysore,KARNATAKA
571123,Gundlupet,Chamrajnagar,KARNATAKA
571124,T Narasipura,Mysore,KARNATAKA
571125,H D Kote,Mysore,KARNATAKA
571126,Gundlupet,Chamrajnagar,KARNATAKA
571127,Chamarajanagara,Chamrajnagar,KARNATAKA
571128,Nanjangud,Mysore,KARNATAKA
571129,Nanjangud,Mysore,KARNATAKA
571130,Mysore,Mysore,KARNATAKA
571134,Hunsur,Mysore,KARNATAKA
571187,Periyapatna,Mysore,KARNATAKA
571189,Hunsur,Mysore,KARNATAKA
571201,Madikeri,Kodagu,KARNATAKA
571211,Virajpet,Kodagu,KARNATAKA
571212,Virajpet,Kodagu,KARNATAKA
571213,Virajpet,Kodagu,KARNATAKA
571214,Madikeri,Kodagu,KARNATAKA
571215,Virajpet,Kodagu,KARNATAKA
571216,Virajpet,Kodagu,KARNATAKA
571217,Virajpet,Kodagu,KARNATAKA
571218,Virajpet,Kodagu,KARNATAKA
571219,Virajpet,Kodagu,KARNATAKA
571231,Somvarpet,Kodagu,KARNATAKA
571232,Somwarpet,Kodagu,KARNATAKA
571234,Somwarpet,Kodagu,KARNATAKA
571235,Somwarpet,Kodagu,KARNATAKA
571236,Somvarpet,Kodagu,KARNATAKA
571237,Somwarpet,Kodagu,KARNATAKA
571247,Madikeri,Kodagu,KARNATAKA
571248,Somvarpet,Kodagu,KARNATAKA
571249,Virajpet,Kodagu,KARNATAKA
571250,Virajpet,Kodagu,KARNATAKA
571251,Somwarpet,Kodagu,KARNATAKA
571252,Madikeri,Kodagu,KARNATAKA
571253,Virajpet,Kodagu,KARNATAKA
571254,Virajpet,Kodagu,KARNATAKA
571301,Nanjangud,Mysore,KARNATAKA
571302,Nanjangud,Mysore,KARNATAKA
571311,Mysore,Mysore,KARNATAKA
571312,Nanjangud,Mysore,KARNATAKA
571313,Chamarajanagara,Chamrajnagar,KARNATAKA
571314,Nanjangud,Mysore,KARNATAKA
571315,Nanjangud,Mysore,KARNATAKA
571316,Chamarajanagara,Chamrajnagar,KARNATAKA
571342,Chamarajanagar,Chamrajnagar,KARNATAKA
571401,Mandya,Mandya,KARNATAKA
571402,Mandya,Mandya,KARNATAKA
571403,Mandya,Mandya,KARNATAKA
571404,Mandya,Mandya,KARNATAKA
571405,Mandya,Mandya,KARNATAKA
571415,Srirangapatna,Mandya,KARNATAKA
571416,Mandya,Mandya,KARNATAKA
571417,Malavalli,Mandya,KARNATAKA
571418,Nagamangala,Mandya,KARNATAKA
571419,Maddur,Mandya,KARNATAKA
571421,Malavalli,Mandya,KARNATAKA
571422,Maddur,Mandya,KARNATAKA
571423,K.r.pete,Mandya,KARNATAKA
571424,Malavalli,Mandya,KARNATAKA
571425,Maddur,Mandya,KARNATAKA
571426,K.r.pete,Mandya,KARNATAKA
571427,Pandavapura,Mandya,KARNATAKA
571428,Maddur,Mandya,KARNATAKA
571429,Maddur,Mandya,KARNATAKA
571430,Malavalli,Mandya,KARNATAKA
571431,Pandavapura,Mandya,KARNATAKA
571432,Nagamangala,Mandya,KARNATAKA
571433,Maddur,Mandya,KARNATAKA
571434,Pandavapura,Mandya,KARNATAKA
571435,Pandavapura,Mandya,KARNATAKA
571436,K.r.pete,Mandya,KARNATAKA
571437,Malavalli,Mandya,KARNATAKA
571438,Srirangapatna,Mandya,KARNATAKA
571439,Kollegal,Chamrajnagar,KARNATAKA
571440,Kollegal,Chamrajnagar,KARNATAKA
571441,Yelandur,Chamrajnagar,KARNATAKA
571442,Yelandur,Chamrajnagar,KARNATAKA
571443,Kollegal,Chamrajnagar,KARNATAKA
571444,Kollegal,Chamrajnagar,KARNATAKA
571445,Nagamangala,Mandya,KARNATAKA
571446,Mandya,Mandya,KARNATAKA
571448,Nagamangala,Mandya,KARNATAKA
571450,Mandya,Mandya,KARNATAKA
571455,Pandavapura,Mandya,KARNATAKA
571457,Kollegal,Chamrajnagar,KARNATAKA
571463,Malavalli,Mandya,KARNATAKA
571475,Malavalli,Mandya,KARNATAKA
571476,Maddur,Mandya,KARNATAKA
571477,Srirangapatna,Mandya,KARNATAKA
571478,Mandya,Mandya,KARNATAKA
571490,Kollegal,Chamrajnagar,KARNATAKA
571601,K R Nagar,Mysore,KARNATAKA
571602,K R Nagar,Mysore,KARNATAKA
571603,K R Nagar,Mysore,KARNATAKA
571604,K R Nagar,Mysore,KARNATAKA
571605,K.r.pete,Mandya,KARNATAKA
571606,Srirangapatna,Mandya,KARNATAKA
571607,K.r.pete,Mandya,KARNATAKA
571610,Hunsur,Mysore,KARNATAKA
571617,K R Nagar,Mysore,KARNATAKA
571802,Nagamangala,Mandya,KARNATAKA
571807,Srirangapatna,Mandya,KARNATAKA
571811,Nagamangala,Mandya,KARNATAKA
571812,K.r.pete,Mandya,KARNATAKA
572101,Tumkur,Tumkur,KARNATAKA
572102,Tumkur,Tumkur,KARNATAKA
572103,Tumkur,Tumkur,KARNATAKA
572104,Tumkur,Tumkur,KARNATAKA
572105,Tumkur,Tumkur,KARNATAKA
572106,Tumkur,Tumkur,KARNATAKA
572107,Tumkur,Tumkur,KARNATAKA
572111,Kunigal,Tumkur,KARNATAKA
572112,Madhugiri,Tumkur,KARNATAKA
572113,Sira,Tumkur,KARNATAKA
572114,Tiptur,Tumkur,KARNATAKA
572115,Sira,Tumkur,KARNATAKA
572116,Pavagada,Tumkur,KARNATAKA
572117,Gubbi,Tumkur,KARNATAKA
572118,Tumkur,Tumkur,KARNATAKA
572119,C.n.hally,Tumkur,KARNATAKA
572120,Kunigal,Tumkur,KARNATAKA
572121,Koratagere,Tumkur,KARNATAKA
572122,Tumkur,Tumkur,KARNATAKA
572123,Kunigal,Tumkur,KARNATAKA
572124,Madhugiri,Tumkur,KARNATAKA
572125,Sira,Tumkur,KARNATAKA
572126,Kunigal,Tumkur,KARNATAKA
572127,Madhugiri,Tumkur,KARNATAKA
572128,Tumkur,Tumkur,KARNATAKA
572129,Koratagere,Tumkur,KARNATAKA
572130,Kunigal,Tumkur,KARNATAKA
572132,Madhugiri,Tumkur,KARNATAKA
572133,Madhugiri,Tumkur,KARNATAKA
572134,Kunigal,Tumkur,KARNATAKA
572135,Sira,Tumkur,KARNATAKA
572136,Pavagada,Tumkur,KARNATAKA
572137,Sira,Tumkur,KARNATAKA
572138,Tumkur,Tumkur,KARNATAKA
572139,Sira,Tumkur,KARNATAKA
572140,Tumkur,Tumkur,KARNATAKA
572141,Pavagada,Tumkur,KARNATAKA
572142,Kunigal,Tumkur,KARNATAKA
572175,Madhugiri,Tumkur,KARNATAKA
572201,Tiptur,Tumkur,KARNATAKA
572211,Gubbi,Tumkur,KARNATAKA
572212,Turuvekere,Tumkur,KARNATAKA
572213,Gubbi,Tumkur,KARNATAKA
572214,Chikkanayakanahlli,Tumkur,KARNATAKA
572215,Turuvekere,Tumkur,KARNATAKA
572216,Gubbi,Tumkur,KARNATAKA
572217,Tiptur,Tumkur,KARNATAKA
572218,C.n.halli,Tumkur,KARNATAKA
572219,Gubbi,Tumkur,KARNATAKA
572220,Gubbi,Tumkur,KARNATAKA
572221,Turuvekere,Tumkur,KARNATAKA
572222,Gubbi,Tumkur,KARNATAKA
572223,Gubbi,Tumkur,KARNATAKA
572224,Tiptur,Tumkur,KARNATAKA
572225,Turuvekere,Tumkur,KARNATAKA
572226,C.n.hally,Tumkur,KARNATAKA
572227,Turuvekere,Tumkur,KARNATAKA
572228,C.n.halli,Tumkur,KARNATAKA
573101,Belur,Hassan,KARNATAKA
573102,Arkalgud,Hassan,KARNATAKA
573103,Arsikere,Hassan,KARNATAKA
573111,Channarayapatna,Hassan,KARNATAKA
573112,Arsikere,Hassan,KARNATAKA
573113,Arkalgud,Hassan,KARNATAKA
573115,Arsikere,Hassan,KARNATAKA
573116,Channarayapatna,Hassan,KARNATAKA
573117,Arsikere,Hassan,KARNATAKA
573118,Hassan,Hassan,KARNATAKA
573119,Arsikere,Hassan,KARNATAKA
573120,Hassan,Hassan,KARNATAKA
573121,Belur,Hassan,KARNATAKA
573122,Arsikere,Hassan,KARNATAKA
573123,Sakleshpur,Hassan,KARNATAKA
573124,Channarayaptna,Hassan,KARNATAKA
573125,Arsikere,Hassan,KARNATAKA
573126,Arsikere,Hassan,KARNATAKA
573127,Sakleshpur,Hassan,KARNATAKA
573128,Hassan,Hassan,KARNATAKA
573129,Alur,Hassan,KARNATAKA
573130,Arkalgud,Hassan,KARNATAKA
573131,Channarayapatna,Hassan,KARNATAKA
573133,Arkalgud,Hassan,KARNATAKA
573134,Sakleshpur,Hassan,KARNATAKA
573135,Channarayapatna,Hassan,KARNATAKA
573136,Arkalgud,Hassan,KARNATAKA
573137,Sakleshpura,Hassan,KARNATAKA
573141,Channarayapatna,Hassan,KARNATAKA
573142,Arkalgud,Hassan,KARNATAKA
573144,Arsikere,Hassan,KARNATAKA
573150,Arkalud,Hassan,KARNATAKA
573162,Arsikere,Hassan,KARNATAKA
573164,Arsikere,Hassan,KARNATAKA
573165,Skaleshpur,Hassan,KARNATAKA
573201,Hassan,Hassan,KARNATAKA
573202,Hassan,Hassan,KARNATAKA
573210,Holenarasipura,Hassan,KARNATAKA
573211,Holenarasipur,Hassan,KARNATAKA
573212,Hassan,Hassan,KARNATAKA
573213,Alur,Hassan,KARNATAKA
573214,Alur,Hassan,KARNATAKA
573215,Belur,Hassan,KARNATAKA
573216,Belur,Hassan,KARNATAKA
573217,Hassan,Hassan,KARNATAKA
573218,Alur,Hassan,KARNATAKA
573219,Hassan,Hassan,KARNATAKA
573220,Hassan,Hassan,KARNATAKA
573225,Hassan,Hassan,KARNATAKA
574101,Karkala,Udupi,KARNATAKA
574102,Karkala,Udupi,KARNATAKA
574103,Udupi,Udupi,KARNATAKA
574104,Karkal,Udupi,KARNATAKA
574105,Udupi,Udupi,KARNATAKA
574106,Udupi,Udupi,KARNATAKA
574107,Karkal,Udupi,KARNATAKA
574108,Karkala,Udupi,KARNATAKA
574109,Karkala,Udupi,KARNATAKA
574110,Karkala,Udupi,KARNATAKA
574111,Udupi,Udupi,KARNATAKA
574112,Udupi,Udupi,KARNATAKA
574113,Udupi,Udupi,KARNATAKA
574114,Karkala,Udupi,KARNATAKA
574115,Udupi,Udupi,KARNATAKA
574116,Udupi,Udupi,KARNATAKA
574117,Udupi,Udupi,KARNATAKA
574118,Udupi,Udupi,KARNATAKA
574119,Udupi,Udupi,KARNATAKA
574122,Karkala,Udupi,KARNATAKA
574129,Karkal,Udupi,KARNATAKA
574141,Mangalore,Dakshina Kannada,KARNATAKA
574142,Mangalore,Dakshina Kannada,KARNATAKA
574143,Bantval,Dakshina Kannada,KARNATAKA
574144,Mangalore,Dakshina Kannada,KARNATAKA
574145,Mangalore,Dakshina Kannada,KARNATAKA
574146,Mangalore,Dakshina Kannada,KARNATAKA
574148,Mangalore,Dakshina Kannada,KARNATAKA
574150,Mangalore,Dakshina Kannada,KARNATAKA
574151,Mangalore,Dakshina Kannada,KARNATAKA
574153,Bantwal,Dakshina Kannada,KARNATAKA
574154,Mangalore,Dakshina Kannada,KARNATAKA
574197,Mangalore,Dakshina Kannada,KARNATAKA
574198,Belthangady,Dakshina Kannada,KARNATAKA
574199,Mangalore,Dakshina Kannada,KARNATAKA
574201,Puttur,Dakshina Kannada,KARNATAKA
574202,Puttur,Dakshina Kannada,KARNATAKA
574203,Puttur,Dakshina Kannada,KARNATAKA
574210,Puttur,Dakshina Kannada,KARNATAKA
574211,Bantval,Dakshina Kannada,KARNATAKA
574212,Sullia,Dakshina Kannada,KARNATAKA
574213,Mangalore,Dakshina Kannada,KARNATAKA
574214,Belthangady,Dakshina Kannada,KARNATAKA
574216,Belthangady,Dakshina Kannada,KARNATAKA
574217,Belthangady,Dakshina Kannada,KARNATAKA
574218,Sullia,Dakshina Kannada,KARNATAKA
574219,Bantval,Dakshina Kannada,KARNATAKA
574220,Bantval,Dakshina Kannada,KARNATAKA
574221,Puttur,Dakshina Kannada,KARNATAKA
574222,Bantval,Dakshina Kannada,KARNATAKA
574223,Puttur,Dakshina Kannada,KARNATAKA
574224,Belthangady,Dakshina Kannada,KARNATAKA
574225,Mangalore,Dakshina Kannada,KARNATAKA
574226,Mangalore,Dakshina Kannada,KARNATAKA
574227,Mangalore,Dakshina Kannada,KARNATAKA
574228,Belthangady,Dakshina Kannada,KARNATAKA
574229,Puttur,Dakshina Kannada,KARNATAKA
574230,Puttur,Dakshina Kannada,KARNATAKA
574231,Bantval,Dakshina Kannada,KARNATAKA
574232,Sullia,Dakshina Kannada,KARNATAKA
574233,Bantval,Dakshina Kannada,KARNATAKA
574234,Madikeri,Kodagu,KARNATAKA
574235,Bantval,Dakshina Kannada,KARNATAKA
574236,Belthangady,Dakshina Kannada,KARNATAKA
574237,Belthangady,Dakshina Kannada,KARNATAKA
574238,Puttur,Dakshina Kannada,KARNATAKA
574239,Sullia,Dakshina Kannada,KARNATAKA
574240,Belthangady,Dakshina Kannada,KARNATAKA
574241,Puttur,Dakshina Kannada,KARNATAKA
574242,Belthangady,Dakshina Kannada,KARNATAKA
574243,Puttur,Dakshina Kannada,KARNATAKA
574244,Karkal,Udupi,KARNATAKA
574248,Sulya,Dakshina Kannada,KARNATAKA
574253,Bantval,Dakshina Kannada,KARNATAKA
574259,Puttur,Dakshina Kannada,KARNATAKA
574260,Bantval,Dakshina Kannada,KARNATAKA
574265,Bantval,Dakshina Kannada,KARNATAKA
574267,Mangalore,Dakshina Kannada,KARNATAKA
574279,Bantval,Dakshina Kannada,KARNATAKA
574285,Puttur,Dakshina Kannada,KARNATAKA
574313,Puttur,Dakshina Kannada,KARNATAKA
574314,Sulya,Dakshina Kannada,KARNATAKA
574323,Bantval,Dakshina Kannada,KARNATAKA
574324,Bantval,Dakshina Kannada,KARNATAKA
574325,Bantval,Dakshina Kannada,KARNATAKA
574326,Belthangady,Dakshina Kannada,KARNATAKA
574327,Sulya,Dakshina Kannada,KARNATAKA
574328,Puttur,Dakshina Kannada,KARNATAKA
574509,Mangalore,Dakshina Kannada,KARNATAKA
575001,Mangalore,Dakshina Kannada,KARNATAKA
575002,Mangalore,Dakshina Kannada,KARNATAKA
575003,Mangalore,Dakshina Kannada,KARNATAKA
575004,Mangalore,Dakshina Kannada,KARNATAKA
575005,Mangalore,Dakshina Kannada,KARNATAKA
575006,Mangalore,Dakshina Kannada,KARNATAKA
575007,Mangalore,Dakshina Kannada,KARNATAKA
575008,Mangalore,Dakshina Kannada,KARNATAKA
575010,Mangalore,Dakshina Kannada,KARNATAKA
575011,Mangalore,Dakshina Kannada,KARNATAKA
575013,Mangalore,Dakshina Kannada,KARNATAKA
575014,Mangalore,Dakshina Kannada,KARNATAKA
575015,Mangalore,Dakshina Kannada,KARNATAKA
575016,Mangalore,Dakshina Kannada,KARNATAKA
575017,Mangalore,Dakshina Kannada,KARNATAKA
575018,Mangalore,Dakshina Kannada,KARNATAKA
575019,Mangalore,Dakshina Kannada,KARNATAKA
575020,Mangalore,Dakshina Kannada,KARNATAKA
575022,Mangalore,Dakshina Kannada,KARNATAKA
575023,Mangalore,Dakshina Kannada,KARNATAKA
575025,Mangalore,Dakshina Kannada,KARNATAKA
575028,Mangalore,Dakshina Kannada,KARNATAKA
575029,Mangalore,Dakshina Kannada,KARNATAKA
575030,Mangalore,Dakshina Kannada,KARNATAKA
576101,Udupi,Udupi,KARNATAKA
576102,Udupi,Udupi,KARNATAKA
576103,Udupi,Udupi,KARNATAKA
576104,Udupi,Udupi,KARNATAKA
576105,Udupi,Udupi,KARNATAKA
576106,Udupi,Udupi,KARNATAKA
576107,Udupi,Udupi,KARNATAKA
576108,Udupi,Udupi,KARNATAKA
576111,Karkala,Udupi,KARNATAKA
576112,Karkala,Udupi,KARNATAKA
576113,Udupi,Udupi,KARNATAKA
576114,Udupi,Udupi,KARNATAKA
576115,Udupi,Udupi,KARNATAKA
576117,Karkal,Udupi,KARNATAKA
576120,Udupi,Udupi,KARNATAKA
576121,Karkala,Udupi,KARNATAKA
576122,Udupi,Udupi,KARNATAKA
576124,Udupi,Udupi,KARNATAKA
576201,Kundapura,Udupi,KARNATAKA
576210,Udupi,Udupi,KARNATAKA
576211,Kundapura,Udupi,KARNATAKA
576212,Kundapura,Udupi,KARNATAKA
576213,Udupi,Udupi,KARNATAKA
576214,Kundapura,Udupi,KARNATAKA
576215,Udupi,Udupi,KARNATAKA
576216,Kundapura,Udupi,KARNATAKA
576217,Kundpaura,Udupi,KARNATAKA
576218,Udupi,Udupi,KARNATAKA
576219,Kundapura,Udupi,KARNATAKA
576220,Kundapura,Udupi,KARNATAKA
576221,Kundapura,Udupi,KARNATAKA
576222,Kundapura,Udupi,KARNATAKA
576223,Udupi,Udupi,KARNATAKA
576224,Kundapura,Udupi,KARNATAKA
576225,Udupi,Udupi,KARNATAKA
576226,Udupi,Udupi,KARNATAKA
576227,Kundapura,Udupi,KARNATAKA
576228,Kundapura,Udupi,KARNATAKA
576229,Kundapura,Udupi,KARNATAKA
576230,Kundapura,Udupi,KARNATAKA
576231,Kundapura,Udupi,KARNATAKA
576232,Kundapura,Udupi,KARNATAKA
576233,Kundapura,Udupi,KARNATAKA
576234,Udupi,Udupi,KARNATAKA
576235,Kundapura,Udupi,KARNATAKA
576247,Kundapura,Udupi,KARNATAKA
576257,Kundapura,Udupi,KARNATAKA
576282,Kundapura,Udupi,KARNATAKA
576283,Kundapura,Udupi,KARNATAKA
577001,Davanagere,Davangere,KARNATAKA
577002,Davanagere,Davangere,KARNATAKA
577003,Davanagere,Davangere,KARNATAKA
577004,Davanagere,Davangere,KARNATAKA
577005,Davanagere,Davangere,KARNATAKA
577006,Davanagere,Davangere,KARNATAKA
577101,Chikmagalur,Chickmagalur,KARNATAKA
577102,Chikmagalur,Chickmagalur,KARNATAKA
577111,Chikmagalur,Chickmagalur,KARNATAKA
577112,Koppa,Chickmagalur,KARNATAKA
577113,Mudigere,Chickmagalur,KARNATAKA
577114,Koppa,Chickmagalur,KARNATAKA
577115,Bhadravati,Shimoga,KARNATAKA
577116,Kadur,Chickmagalur,KARNATAKA
577117,Koppa,Chickmagalur,KARNATAKA
577118,Koppa,Chickmagalur,KARNATAKA
577120,Sringeri,Chickmagalur,KARNATAKA
577121,Mudigere,Chickmagalur,KARNATAKA
577122,Mudigere,Chickmagalur,KARNATAKA
577123,Koppa,Chickmagalur,KARNATAKA
577124,Mudigere,Chickmagalur,KARNATAKA
577125,Koppa,Chickmagalur,KARNATAKA
577126,Koppa,Chickmagalur,KARNATAKA
577127,Narasimharajapura,Chickmagalur,KARNATAKA
577128,Tarikere,Chickmagalur,KARNATAKA
577129,Tarikere,Chickmagalur,KARNATAKA
577130,Chikmagalur,Chickmagalur,KARNATAKA
577131,Chikmagalur,Chickmagalur,KARNATAKA
577132,Mudigere,Chickmagalur,KARNATAKA
577133,Chikmagalur,Chickmagalur,KARNATAKA
577134,Narasimharajapura,Chickmagalur,KARNATAKA
577135,Kadur,Chickmagalur,KARNATAKA
577136,Chikmagalur,Chickmagalur,KARNATAKA
577137,Chikmagalur,Chickmagalur,KARNATAKA
577138,Kadur,Chickmagalur,KARNATAKA
577139,Koppa,Chickmagalur,KARNATAKA
577140,Kadur,Chickmagalur,KARNATAKA
577142,Koppa,Chickmagalur,KARNATAKA
577144,Tarikere,Chickmagalur,KARNATAKA
577145,Tarikere,Chickmagalur,KARNATAKA
577146,Chikmagalur,Chickmagalur,KARNATAKA
577160,Mudigere,Chickmagalur,KARNATAKA
577168,Chikmagalur,Chickmagalur,KARNATAKA
577175,Kadur,Chickmagalur,KARNATAKA
577179,Koppa,Chickmagalur,KARNATAKA
577180,Kadur,Chickmagalur,KARNATAKA
577181,Mudigere,Chickmagalur,KARNATAKA
577182,Kadur,Chickmagalur,KARNATAKA
577201,Shimoga,Shimoga,KARNATAKA
577202,Shimoga,Shimoga,KARNATAKA
577203,Shimoga,Shimoga,KARNATAKA
577204,Shimoga,Shimoga,KARNATAKA
577205,Shimoga,Shimoga,KARNATAKA
577211,Shimoga,Shimoga,KARNATAKA
577213,Channagiri,Davangere,KARNATAKA
577214,Shikarpur,Shimoga,KARNATAKA
577215,Channagiri,Davangere,KARNATAKA
577216,Shimoga,Shimoga,KARNATAKA
577217,Honnali,Davangere,KARNATAKA
577218,Channagiri,Davangere,KARNATAKA
577219,Honnali,Davangere,KARNATAKA
577220,Tirthahalli,Shimoga,KARNATAKA
577221,Channagiri,Davangere,KARNATAKA
577222,Shimoga,Shimoga,KARNATAKA
